,respondent_id,as_of_year,agency_abbr,loan_type_name,loan_amount_000s,owner_occupancy_name,loan_purpose_name,property_type_name,preapproval_name,msamd_name,state_abbr,county_name,applicant_ethnicity_name,co_applicant_ethnicity_name,applicant_race_name_1,co_applicant_race_name_1,applicant_sex_name,co_applicant_sex_name,applicant_income_000s,purchaser_type_name,denial_reason_name_1,hoepa_status_name,lien_status_name,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,action_taken_name
187668,0000852320,2011,CFPB,Conventional,12,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Atlanta, Sandy Springs, Marietta - GA",GA,Spalding County,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Female,Male,89.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,4492.0,83.0999984741211,68300.0,44.2400016784668,418.0,1636.0,Application denied by financial institution
162555,0000817824,2011,CFPB,Conventional,115,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Portland, Vancouver, Hillsboro - OR, WA",OR,Washington County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,24.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,6377.0,12.34000015258789,72000.0,135.55000305175778,1647.0,2073.0,Application denied by financial institution
82460,7197000003,2011,HUD,FHA-insured,304,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Bridgeport, Stamford, Norwalk - CT",CT,Fairfield County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,107.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,5168.0,8.340000152587889,105300.0,107.66000366210938,1645.0,1678.0,Loan originated
44499,0000761806,2011,CFPB,Conventional,229,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Providence, New Bedford, Fall River - RI, MA",MA,Bristol County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,112.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,6320.0,11.649999618530273,74500.0,109.70999908447266,1593.0,1921.0,Loan originated
87837,95-4623407,2011,HUD,FHA-insured,187,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Modesto - CA,CA,Stanislaus County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,73.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,5753.0,15.170000076293945,61100.0,107.6999969482422,1386.0,2034.0,Loan originated
67570,0000852320,2011,CFPB,Conventional,160,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Lynchburg - VA,VA,Lynchburg city,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,82.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,4066.0,29.489999771118164,59300.0,114.54000091552734,751.0,1147.0,Loan originated
22158,0002777650,2011,CFPB,Conventional,167,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Denton County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,53.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,8588.0,10.630000114440918,69600.0,98.20999908447266,2399.0,2985.0,Loan originated
95894,05-0402708,2011,HUD,Conventional,103,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Anne Arundel County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,41.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,5609.0,26.78000068664551,84500.0,124.08000183105469,1362.0,1585.0,Loan originated
82871,0000704474,2011,OCC,Conventional,87,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,WI,Waushara County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,76.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4360.0,8.579999923706055,59100.0,84.88999938964844,1269.0,1877.0,Loan originated
31001,0000058719,2011,FDIC,VA-guaranteed,356,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Decatur - AL,AL,Morgan County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,121.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,5435.0,4.400000095367432,55200.0,91.73999786376952,1604.0,2062.0,Loan originated
99046,0000451965,2011,CFPB,Conventional,92,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Portland, Vancouver, Hillsboro - OR, WA",OR,Washington County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,96.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,9078.0,18.520000457763672,72000.0,111.54000091552734,2325.0,2857.0,Loan originated
136220,0000451965,2011,CFPB,FHA-insured,89,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Preapproval was not requested,,IN,Jackson County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,32.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,4106.0,1.3200000524520874,52900.0,105.20999908447266,1332.0,1619.0,Application denied by financial institution
108843,0000501105,2011,CFPB,Conventional,10,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Baltimore city,Not Hispanic or Latino,Not Hispanic or Latino,Black or African American,Black or African American,Male,Female,100.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Not secured by a lien,3337.0,75.33999633789062,84500.0,58.4900016784668,604.0,1346.0,Application denied by financial institution
11991,1522600000,2011,HUD,Conventional,411,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Collin County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,164.0,"Life insurance company, credit union, mortgage bank, or finance company",,Not a HOEPA loan,Secured by a first lien,4077.0,15.0600004196167,69600.0,123.1500015258789,1310.0,1531.0,Loan originated
140592,0000619877,2011,CFPB,VA-guaranteed,255,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Spartanburg - SC,SC,Spartanburg County,Not Hispanic or Latino,Not Hispanic or Latino,American Indian or Alaska Native,American Indian or Alaska Native,Male,Female,38.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,4647.0,13.229999542236328,56100.0,105.12999725341795,1433.0,1950.0,Application denied by financial institution
58252,27-2182771,2011,HUD,FHA-insured,216,Not applicable,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Dallas, Plano, Irving - TX",TX,Collin County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,131.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,5416.0,16.489999771118164,69600.0,183.4600067138672,1743.0,1952.0,Loan originated
21305,0002777650,2011,CFPB,Conventional,396,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Los Angeles, Long Beach, Glendale - CA",CA,Los Angeles County,Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,98.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,2966.0,37.22000122070313,64000.0,116.0199966430664,796.0,923.0,Loan originated
59632,0000005588,2011,NCUA,Conventional,402,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Bethesda, Rockville, Frederick - MD",MD,Montgomery County,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Asian,Male,Female,126.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,2850.0,52.56000137329102,111900.0,74.12999725341797,631.0,477.0,Loan originated
34297,0002735146,2011,CFPB,Conventional,170,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Chicago, Joliet, Naperville - IL",IL,Cook County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,305.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,4770.0,16.829999923706055,76200.0,150.82000732421875,1356.0,398.0,Loan originated
64768,13-4127143,2011,HUD,Conventional,196,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Hudson County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,168.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,2763.0,95.04000091552734,67400.0,61.13999938964844,237.0,614.0,Loan originated
120780,33-0970598,2011,HUD,Conventional,243,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Gates County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,65.0,Loan was not originated or was not sold in calendar year covered by register,Unverifiable information,Not a HOEPA loan,Secured by a first lien,3044.0,37.09000015258789,49500.0,103.76000213623048,938.0,1295.0,Application denied by financial institution
13179,35-1985128,2011,HUD,Conventional,59,Not owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Marion County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,58.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,7054.0,3.9700000286102295,66000.0,119.08999633789062,2318.0,2649.0,Loan originated
34740,0000852320,2011,CFPB,Conventional,295,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Carroll County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,56.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,5072.0,3.1700000762939453,84500.0,101.4000015258789,1554.0,1809.0,Loan originated
67709,0546509997,2011,HUD,Conventional,196,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,Salt Lake City - UT,UT,Salt Lake County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,36.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,1820.0,5.489999771118164,70400.0,116.68000030517578,447.0,459.0,Loan originated
105173,0000451965,2011,CFPB,Conventional,64,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Rocky Mount - NC,NC,Nash County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,65.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,8368.0,42.040000915527344,49000.0,122.22000122070312,1889.0,2888.0,Application denied by financial institution
179629,0003284070,2011,CFPB,Conventional,285,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Tucson - AZ,AZ,Pima County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,480.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,4999.0,18.34000015258789,59600.0,147.1999969482422,1235.0,1736.0,Application denied by financial institution
33625,54-1685390,2011,CFPB,FHA-insured,151,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Preapproval was not requested,"Virginia Beach, Norfolk, Newport News - VA, NC",NC,Currituck County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,47.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,1390.0,2.0899999141693115,69900.0,118.87999725341795,428.0,623.0,Loan originated
39777,0000852218,2011,CFPB,Conventional,109,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Phoenix, Mesa, Glendale - AZ",AZ,Maricopa County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,22.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,3729.0,12.279999732971193,65500.0,149.3300018310547,1205.0,1339.0,Loan originated
180916,7230000003,2011,HUD,Conventional,339,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Newark, Union - NJ, PA",NJ,Morris County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,87.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,4227.0,6.460000038146973,90600.0,114.8499984741211,1369.0,1610.0,Application denied by financial institution
